UBIALE CLANEZZO;C789
UBOLDO;L480
UCRIA;L482
UDINE;L483
UGENTO;L484
UGGIANO LA CHIESA;L485
UGGIATE TREVANO;L487
ULA' TIRSO;L488
ULASSAI;L489
ULTIMO;L490
UMBERTIDE;D786
UMBRIATICO;L492
URAGO D'OGLIO;L494
URAS;L496
URBANA;L497
URBANIA;L498
URBE;L499
URBINO;L500
URBISAGLIA;L501
URGNANO;L502
URI;L503
URURI;L505
URZULEI;L506
USCIO;L507
USELLUS;L508
USINI;L509
USMATE VELATE;L511
USSANA;L512
USSARAMANNA;L513
USSASSAI;L514
USSEAUX;L515
USSEGLIO;L516
USSITA;L517
USTICA;L519
UTA;L521
UZZANO;L522
